# From Jiang et al 2015 RNA sequencing from human neutrophils reveals distinct transcriptional differences associated with chronic inflammatory states,,,,,,,,,,,,
# Supplemental Table 1. Genes identified as expressed in neutrophils  in all 9 subjects,,,,,,,,,,,,
Gene ID,FPKM,,,,,,,,,,,
CORO1A,1720.66,868.362,1054.1,1061.86,805.261,951.819,1109.54,1305.55,1032.06,9909.21,,
JUNB,702.204,782.2,1375.14,1024.43,962.586,1420.47,964.693,1243.26,1353.36,9828.34,,
DUSP1,603.323,970.986,1514.97,1000.27,1043.04,1080.56,1440.05,1290.53,837.335,9781.06,,
NAMPT,353.477,1037.07,1508.33,1024.83,1213.91,1260.24,1122.42,748.934,1410.5,9679.71,,
NCF2,1096.9,918.145,1168.98,1083.59,1044.1,1144.78,1030.87,1072.33,905.627,9465.32,,
OAZ1,1075.53,928.004,1100.68,913.912,839.758,1003.37,1161.73,1151.34,1199.54,9373.86,,
LSP1,854.657,885.206,1036.51,898.355,849.492,1044.19,1330.25,1234.38,1208.99,9342.03,,
HLA-A,911.74,1215.17,879.053,1232.86,1035.99,1107.68,872.78,905.777,1014.88,9175.93,,
MYL6,1442.85,828.007,1027.26,1079.73,715.437,870.183,988.486,1051.76,1150.24,9153.95,,
GMFG,940.093,1024.85,1037.91,883.605,903.086,1115.28,1077.86,931.408,1227.38,9141.47,,
SPI1,746.546,866.137,1043.52,842.426,1001.36,1146.39,1000.92,1105.39,1369.13,9121.82,,
AMICA1,1245.74,933.141,978.137,965.295,872.508,1051.02,938.503,906.096,979.692,8870.13,,
TNFRSF10C,615.628,606.178,1182.45,953.153,1039.58,1147.02,896.842,1063.15,1289.75,8793.75,,
ACSL1,382.086,723.716,1178.02,704.229,1020.16,1096.84,783.89,636.087,1947.85,8472.88,,
AQP9,352.917,881.462,1039.58,837.349,989.992,1020.17,877.69,714.172,1428.99,8142.32,,
TALDO1,884.861,858.285,1001.53,825.29,827.84,978.224,940.961,891.834,863.648,8072.47,,
