,Threshold count,Processed events count,Total cellularity (live),Number of lobes,Cells per lobe,Cells per lobe (thousands),,,,Total cells (live and dead),Lobes,Cells per lobe,Cells per lobe (thousands),,,,Live fraction
FTOC_BMS493_rep1,381806,379272,298969,14,21355,21,,,,361125,14,25794.64286,26,,,,0.807692308
FTOC_BMS493_rep2,501394,495341,394357,16,24647,25,,,,,16,0,0,,,,
FTOC_BMS493_rep3,329692,172699,272813,10,27281,27,,,,,10,0,0,,,,
FTOC_PBSDMSO_rep1,204168,169877,177253,11,16114,16,,,,158750,11,14431.81818,14,,,,1.142857143
FTOC_PBSDMSO_rep2,571944,561590,437842,16,27365,27,,,,,16,0,0,,,,
FTOC_PBSDMSO_rep3,207383,99577,179674,10,17967,18,,,,,10,0,0,,,,
FTOC_RA_rep1,191344,136036,139767,14,9983,10,,,,154875,14,11062.5,11,,,,0.909090909
FTOC_RA_rep2,454740,448110,300297,16,18769,19,,,,,16,0,0,,,,
FTOC_RA_rep3,130374,63429,91189,10,9119,9,,,,,10,0,0,,,,
